Original,Mini-Major,Major
10 West Studios, 0,0
20th Century Fox,0,1
20th Century Fox Distribution,0,1
20th Century Fox/Regency Films,0,1
Adlab Films,0,0
Adlabs Films,0,0
After Dark Films,0,0
AfterDark Films,0,0
Amazon Studios,0,0
Amazon Studios & Broad Green Pictures,0,0
Amazon Studios and Roadside Attractions,0,0
Amazon Studios/Bleecker Street Media,0,0
Amazon Studios/Roadside Attractions,0,0
Anchor Bay,0,0
Anchor Bay Entertainment,0,0
Anchor Bay Films,0,0
Apparition,0,0
Apparition Films,0,0
Arenamedia,0,0
Arenas Entertainment,0,0
Atlas Distribution,0,0
Atlas Distribution Company,0,0
Big Balloon Adventure Movies,0,0
Big Beach Films,0,0
Bleecker Street,1,0
Bleecker Street Films,1,0
Bleecker Street Media,1,0
Buena Vista,0,1
Buena Vista Distribution,0,1
Buena Vista Distribution Compa,0,1
Buena Vista Pictures,0,1
Cinedigm,0,0
Cinedigm Entertainment,0,0
Cinedigm Entertainment/Docurama,0,0
Cinedigm Films,0,0
Cinema Libre,0,0
Cinema Libre Studio,0,0
Cinemaa Pictures,0,0
Columbia Pictures,0,1
Columbia Tristar Pictures,0,1
Destination Film,0,0
Destination Films,0,0
Disney,0,0
Disney India,0,0
Disney/Marvel,0,0
Disney/Pixar,0,0
Disneynature,0,0
Drafthouse Films,0,0
Drafthouse Recommends,0,0
DreamWorks Animation,0,1
DreamWorks SKG,0,1
DreamWorks Studios,0,1
DreamWorks/Paramount Studios,0,1
Dreamworks,0,1
Dreamworks Distribution LLC,0,1
Dreamworks Pictures,0,1
Dreamworks/Paramount,0,1
Electric Chinoland,0,0
Electric Entertainment,0,0
Entertainment One,0,0
Entertainment One U.S.,0,0
Entertainment Studios Motion Pictures,0,0
Entertianment One Films,0,0
Eone Films,0,0
Eros Entertainment,0,0
Eros International,0,0
Europa Corporation,0,0
EuropaCorp,0,0
EuropaCorp / STXfilms,0,0
Exclusive Media,0,0
Exclusive Releasing,0,0
Film Arcade,0,0
Film District,1,0
Film Foundry Releasing,0,0
Film Movement,0,0
First Independent Pictures,0,0
First Look,0,0
First Look Media,0,0
First Look Pictures,0,0
Focus Features,0,0
Focus World,0,0
Focus/Rogue Pictures,0,0
Fox Faith Films,0,0
Fox Films,0,0
Fox Searchlight,0,0
Fox Searchlight Pictures,0,0
Fox Star India,0,0
Freestlye Releasing,0,0
Freestyle Digital Media,0,0
Freestyle Releasing,0,0
Freestyle Releasing/Yari Film Group,0,0
IFC Films,0,0
IFC Films/Sundance Selects,0,0
IFC First Take,0,0
Independent Distribution Partn,0,0
